name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Alabama A & M University,29,7182,Public,5020,15,97,89,6745,81,4953,81,4807,7,1684,1,1312,32,6197,89,7824,89,7719,1,7965,12887,12683,13292,16104,16944,15416
University of Alabama at Birmingham,54,7206,Public,18568,18,90,79,7270,36,4774,36,4363,10,1498,0,9075,60,6683,56,6796,55,6010,5,10199,13745,12361,13765,16670,17096,17291
Amridge University,67,6870,Private not-for-profit,631,10,100,90,4855,90,2782,90,2782,0,,40,150,90,2006,100,3846,100,3846,0,,6112,8234,9974,,,0
University of Alabama in Huntsville,48,9192,Public,7376,16,87,77,8993,31,4693,31,4480,4,1864,1,1900,63,8686,46,6285,46,5744,3,9528,13208,14652,16334,19016,20263,20306
Alabama State University,25,8720,Public,6075,16,93,87,8096,76,4962,76,4739,13,1353,11,5649,34,7782,81,7305,81,7299,0,8306,10607,12342,10811,11362,13079,2948
The University of Alabama,67,9450,Public,34752,21,75,60,12466,20,5311,18,4159,4,7214,3,8877,50,12265,42,9386,41,5904,8,18960,19042,17206,19960,21363,23115,23748
Athens State University,,,Public,3170,17,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Auburn University at Montgomery,27,8750,Public,5084,16,90,67,4646,48,4281,48,4215,5,719,5,681,48,2085,36,6026,36,6026,0,,11726,9044,11037,14542,15537,15579
Auburn University,68,9852,Public,24864,18,76,68,7375,13,4432,13,4201,3,970,1,1243,65,6782,32,7169,31,5549,3,17658,17014,13191,16272,18240,19276,20142
Birmingham Southern College,62,30690,Private not-for-profit,1188,13,98,97,20995,21,4562,21,4062,9,1133,26,433,96,20092,80,6909,80,5774,7,13779,23522,19539,16300,20173,23001,14786
Concordia College Alabama,21,8090,Private not-for-profit,600,17,100,100,5122,100,2554,84,2797,16,1280,83,1682,67,1732,100,2355,100,2355,0,,12836,10715,12333,15293,17505,9628
South University-Montgomery,8,16360,Private for-profit,682,12,100,96,5801,83,5182,83,4654,42,1034,37,287,35,3430,83,5796,83,5796,0,,22724,26923,24475,28525,28525,26720
Faulkner University,23,18230,Private not-for-profit,3193,15,99,99,9472,57,4532,57,3961,34,953,64,482,91,7189,79,6639,79,6360,3,7093,18974,20519,17752,19262,15704,18399
Huntingdon College,43,23500,Private not-for-profit,1110,14,100,100,12063,48,4251,48,3911,16,1000,53,384,99,9972,78,7338,77,6129,10,9677,19342,17317,16917,17974,18342,13944
Heritage Christian University,0,9792,Private not-for-profit,94,5,100,100,7512,50,2901,50,2775,50,126,0,,100,6062,0,,0,,0,,13648,8793,0,,,6767
Jacksonville State University,31,7092,Public,8693,18,93,83,7856,48,4488,48,4361,11,541,21,1506,55,7309,57,6645,56,6389,2,6921,12020,14021,15774,18261,19180,19202
Judson College,41,15630,Private not-for-profit,347,8,100,100,10486,82,3742,64,4451,18,1263,84,480,100,7019,83,8763,83,7419,12,9558,17329,17016,17186,20215,19308,15049
University of West Alabama,32,7660,Public,4427,16,95,89,4765,74,3669,59,4344,16,822,2,688,56,2691,81,6295,74,6205,8,6714,13231,12131,12490,15140,15656,15509
Miles College,22,11454,Private not-for-profit,1666,15,99,98,6135,88,4786,88,4537,26,860,10,674,34,5032,90,7246,90,7123,2,7029,15213,13354,14369,17533,20393,12810
University of Mobile,49,18690,Private not-for-profit,1610,13,93,93,11636,34,4533,34,4322,7,1016,44,427,92,9864,59,6694,58,6113,4,8340,18204,17247,18486,18698,18977,14612
University of Montevallo,45,10000,Public,3062,16,88,80,6389,38,4441,38,4291,5,1105,1,1084,63,5386,55,5999,55,5513,3,8643,14370,12723,14312,15804,16885,17681
University of North Alabama,32,7078,Public,6931,21,82,68,4500,54,3981,53,3813,19,547,2,455,40,2305,70,4188,70,4027,2,7019,10370,11270,11610,11706,11878,13357
Oakwood University,36,16234,Private not-for-profit,1903,14,94,91,7926,53,4789,53,4363,12,1840,1,180,82,5704,73,9230,72,7377,12,11871,26808,25389,26623,27028,29881,24295
