name,graduationRate,percentAdmitted,percentAdmittedMen,percentAdmittedWomen,admissionYield,admissionYieldMen,admissionYieldWomen,tuitionFees1011,tuitionFees1112,tuitionFees1213,tuitionFees1314,priceInDistrictLivingCampus1314,priceInStateLivingCampus1314,priceOOSLivingCampus,priceInDistrictOffCampusNoFam1314,priceInStateOffCampusNoFam1314,priceOOSOffCampusNoFam1314,priceInDistrictOffCampusWithFam1314,priceInStateOffCampusWithFam1314,priceOOSOffCampusWithFam1314,size,state,sector,publicprivate,enrollmentTotal,enrollmentFT,enrollmentPT,enrollmentUG,enrollmentFirstTimeDegreeSeeking,enrollmentTransferInDegreeSeeking,enrollmentContinuingDegreeSeeking,enrollmentNonSeeking,enrollmentGrad,enrollmentFTUG,enrollmentFTGrad,enrollmentPTUG,enrollmentPTGrad,studentFactultyRatio,ftRetention,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213,IC2013.Fall reporting period for SAT/ACT test scores,percentSubmitSAT,percentSubmitACT,SATCR25,SATCR75,SATMATH25,SATMATH75,SATW25,SATW75,ACT25,ACT75,ACTE25,ACTE75,ACTM25,ACTM75,ACTW25,ACTW75
Alabama A & M University,29,90,87,91,20,26,16,5800,6828,7182,7182,21849,21849,27441,21849,21849,27441,10282,10282,15874,"5,000 - 9,999",Alabama,"Public, 4-year or above",Public,5020,4439,581,4051,1103,166,2782,0,969,3799,640,252,329,15,63,97,89,6745,81,4953,81,4807,7,1684,1,1312,32,6197,89,7824,89,7719,1,7965,12887,12683,13292,16104,16944,15416,Fall 2013,15,88,370,450,350,450,,,15,19,14,19,15,18,,
University of Alabama at Birmingham,54,87,88,86,36,37,35,5806,6264,6798,7206,22495,22495,31687,22495,22495,31687,12581,12581,21773,"10,000 - 19,999",Alabama,"Public, 4-year or above",Public,18568,11961,6607,11502,1773,1397,8030,302,7066,8357,3604,3145,3462,18,80,90,79,7270,36,4774,36,4363,10,1498,0,9075,60,6683,56,6796,55,6010,5,10199,13745,12361,13765,16670,17096,17291,Fall 2013,6,93,520,640,520,650,,,22,28,22,29,20,26,,
Amridge University,67,,,,,,,8360,8720,6800,6870,,,,19570,19570,19570,9970,9970,9970,"Under 1,000",Alabama,"Private not-for-profit, 4-year or above",Private not-for-profit,631,323,308,322,7,0,315,0,309,202,121,120,188,10,38,100,90,4855,90,2782,90,2782,0,,40,150,90,2006,100,3846,100,3846,0,,6112,8234,9974,,,0,Not applicable,,,,,,,,,,,,,,,,
University of Alabama in Huntsville,48,81,82,78,39,41,37,7492,8094,8794,9192,23466,23466,35780,23466,23466,35780,15033,15033,27347,"5,000 - 9,999",Alabama,"Public, 4-year or above",Public,7376,4802,2574,5696,651,705,4169,171,1680,4237,565,1459,1115,16,81,87,77,8993,31,4693,31,4480,4,1864,1,1900,63,8686,46,6285,46,5744,3,9528,13208,14652,16334,19016,20263,20306,Fall 2013,34,94,510,640,510,650,,,23,29,22,30,22,28,,
Alabama State University,25,51,48,53,28,34,25,7164,8082,7932,8720,18286,18286,25222,20812,20812,27748,13492,13492,20428,"5,000 - 9,999",Alabama,"Public, 4-year or above",Public,6075,5182,893,5356,1545,223,3586,2,719,4872,310,484,409,16,62,93,87,8096,76,4962,76,4739,13,1353,11,5649,34,7782,81,7305,81,7299,0,8306,10607,12342,10811,11362,13079,2948,Fall 2012,18,87,380,480,370,480,,,15,19,14,20,15,18,,
The University of Alabama,67,57,56,57,37,40,35,7900,8600,9200,9450,27000,27000,41500,27000,27000,41500,15620,15620,30120,"20,000 and above",Alabama,"Public, 4-year or above",Public,34752,29498,5254,29440,6454,1474,20764,748,5312,26548,2950,2892,2362,21,87,75,60,12466,20,5311,18,4159,4,7214,3,8877,50,12265,42,9386,41,5904,8,18960,19042,17206,19960,21363,23115,23748,Fall 2013,23,76,490,620,500,640,480,600,22,30,22,32,21,28,6,8
Athens State University,,,,,,,,,,,,,,,,,,,,,"1,000 - 4,999",Alabama,"Public, 4-year or above",Public,3170,1350,1820,3170,0,738,2261,171,0,1350,0,1820,0,17,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,Not applicable,,,,,,,,,,,,,,,,
Auburn University at Montgomery,27,84,86,83,35,38,34,6620,7580,8150,8750,17820,17820,34020,20440,20440,36640,12650,12650,28850,"5,000 - 9,999",Alabama,"Public, 4-year or above",Public,5084,3223,1861,4322,671,434,3217,0,762,2999,224,1323,538,16,63,90,67,4646,48,4281,48,4215,5,719,5,681,48,2085,36,6026,36,6026,0,,11726,9044,11037,14542,15537,15579,Fall 2013,0,54,,,,,,,18,23,18,23,17,23,,
Auburn University,68,83,83,83,29,31,27,7900,8698,9446,9852,25282,25282,41794,25282,25282,41794,13730,13730,30242,"20,000 and above",Alabama,"Public, 4-year or above",Public,24864,21093,3771,19799,3726,1052,14983,38,5065,18011,3082,1788,1983,18,89,76,68,7375,13,4432,13,4201,3,970,1,1243,65,6782,32,7169,31,5549,3,17658,17014,13191,16272,18240,19276,20142,Fall 2013,17,83,520,620,540,650,510,620,24,30,24,32,23,28,6,8
Birmingham Southern College,62,64,68,61,29,32,26,27890,29290,30690,30690,45470,45470,45470,44690,44690,44690,33040,33040,33040,"1,000 - 4,999",Alabama,"Private not-for-profit, 4-year or above",Private not-for-profit,1188,1167,21,1188,356,27,798,7,0,1167,0,21,0,13,80,98,97,20995,21,4562,21,4062,9,1133,26,433,96,20092,80,6909,80,5774,7,13779,23522,19539,16300,20173,23001,14786,Fall 2013,32,82,520,630,520,640,,,23,29,23,30,22,27,,
